name,product_title,product_url,current_price,original_price,currency,rating,is_sponsored
B00U31TF52,6 Pack of Motorola RMU2080D Two Way Radio Walkie Talkies,no product url,1776.0,1776.0,$,5.0,False
B0DCGQJ6ZC,"Motorola Moto G 5G 2024 (128GB, 4GB) 6.6"", 50MP Dual Camera, Android 14, XT2417 (Unlocked, Sage Green) (Renewed)",no product url,107.0,107.0,$,4.1,False
B00THCHBN6,Motorola Solutions,no product url,1512.0,1512.0,$,4.6,False
B016QOR0PG,Motorola Solutions,no product url,504.0,504.0,$,4.3,False
B0DTBKYSHX,Motorola,no product url,137.7,137.7,$,4.3,False
B0DTFJHXN5,Motorola,no product url,229.5,229.5,$,4.3,False
B016R9XEMI,Motorola Solutions,no product url,592.0,296.0,$,5.0,False
B0916L2SPB,Motorola Solutions,no product url,95.61,95.61,$,4.3,False
B0D79BXYSK,Motorola,no product url,163.82,163.82,$,3.5,False
B0F2GQTBQF,Motorola,no product url,0.0,0.0,,4.4,False
B08DF93RF6,Motorola,no product url,592.0,592.0,$,4.1,False
B0CVCK57CR,Motorola Solutions,no product url,109.99,109.99,$,4.3,False
B0D3FHRKFC,"2 x Motorola CP100D Analog UHF Portable Non-Display Two Way Radio, 16 Channel, 4 Watt (403-480MHz) - 2 Pack Bundle",no product url,554.0,277.0,$,5.0,False
