name,product_title,product_url,current_price,original_price,currency,rating,is_sponsored
B0DM1S54MZ,"Samsung Galaxy A16 4G LTE (128GB + 4GB) International Model SM-A165F/DS Factory Unlocked, 6.7"", Dual SIM, 50MP Triple Camera (Case Bundle), Black",no product url,128.49,128.49,$,4.0,False
B0BZFXBS38,"Panasonic Cordless Phone with Answering Machine, Advanced Call Block, Bilingual Caller ID and Easy to Read High-Contrast Display, Expandable System with 3 Handsets - KX-TGD833M (Metallic Black)",no product url,87.99,87.99,$,4.3,False
B0FP4V2XCZ,"I25 Ultra Unlocked Phone Dual-SIM Android Smartphone 7.3"" Cell Phone Unlocked, Built in Pen The Phone, 12G RAM+ 256GB, Battery 6800mAh, 48MP Camera, Fingerprint Lock/Face ID/AI App (Gold)",no product url,199.88,199.88,$,5.0,False
B0DLHLRDBY,"Samsung Galaxy A16 5G A Series, Unlocked Android Smartphone, Large AMOLED Display, Durable Design, Super Fast Charging, Expandable Storage, 5G Connectivity, US Version, 2025, Light Gray",no product url,199.99,199.99,$,4.2,False
B0DZ6SL7GJ,Reno 11 Pro Unlocked Android Phone 6.7-inch HD LCD Unlocked Cell Phone 8GB+256GB Android 13 Smartphone 6000 mAh Large Battery Unlocked Phone 4G Dual SIM (Rock Grey),no product url,129.99,129.99,$,5.0,False
B0DP3F8GK1,"SAMSUNG Galaxy S25 Ultra, 512GB Smartphone, Unlocked Android, AI Night Mode Camera, Snapdragon 8 Elite Fast Processor, 5000mAh Battery, Built-in S Pen, 2025, US 1 Yr Warranty, Titanium Silverblue",no product url,1419.99,1419.99,$,4.5,False
B08VLMQ3KS,"Samsung Galaxy S21 5G, US Version, 128GB, Phantom Gray - Unlocked (Renewed)",no product url,162.27,162.27,$,3.9,False
B0FFTQF4Q6,"Google Pixel 10 - Unlocked Android Smartphone - Gemini AI Assistant - Advanced Triple Rear Camera, Fast-Charging 24+ Hour Battery, and 6.3"" Actua Display - Frost - 256 GB (2025 Model)",no product url,899.0,899.0,$,4.3,False
B0FG1X2XHF,"Samsung Galaxy S25 FE Cell Phone (2025), 256GB AI Smartphone, Unlocked Android, Large Display, 4900mAh Battery, High Res-Camera, AI Photo Edits, Durable, US 1 Yr Warranty, Navy",no product url,699.0,699.0,$,4.9,False
B0F9KWD6CP,"KXD A07 Unlock Cell Phone, Android 12 Unlocked Phone, 4500mAh 10W Fast Smartphones, 13MP+8MP, 6.52 Inch HD+, 4GB + 64GB/SD 256GB Mobile Phone, Fingerprint/Face ID, 4G Dual SIM Phone - Black",no product url,69.99,69.99,$,3.7,False
B0CRWT7WF1,Samsung Galaxy A05 A055M 64GB Dual-SIM GSM Unlocked Android Smartphone (Latin America Version) - Black,no product url,107.5,107.5,$,4.3,False
B0C1Q3MVBP,"Samsung Galaxy A14 5G A Series, Factory Unlocked, 64GB, US Version, Black (Renewed)",no product url,99.99,99.99,$,3.8,False
B0DM1S54MZ,"Samsung Galaxy A16 4G LTE (128GB + 4GB) International Model SM-A165F/DS Factory Unlocked, 6.7"", Dual SIM, 50MP Triple Camera (Case Bundle), Black",no product url,128.49,128.49,$,4.0,False
B0BZFXBS38,"Panasonic Cordless Phone with Answering Machine, Advanced Call Block, Bilingual Caller ID and Easy to Read High-Contrast Display, Expandable System with 3 Handsets - KX-TGD833M (Metallic Black)",no product url,87.99,87.99,$,4.3,False
